"Date","Amount","Category","Vendor","Customer"
"2026-03-06","29085","Rent","TechLogistics Corp","Retail Giant A"
"2026-02-07","23935","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-16","31032","Rent","Global Office Ltd","Direct Consumer"
"2026-02-04","39997","Professional Fees","Prime Consulting","Direct Consumer"
"2026-02-20","22638","Rent","Global Office Ltd","Retail Giant A"
"2026-01-21","49234","Tax Provision","Prime Consulting","Retail Giant A"
"2026-02-09","23855","Inventory","Azure Utilities","Retail Giant A"
"2026-03-27","2056","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-25","22087","Inventory","Azure Utilities","Public Sector Dept"
"2026-02-16","24144","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-08","31010","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-02-08","19149","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-01-04","41103","Tax Provision","Prime Consulting","Direct Consumer"
"2026-01-02","34729","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-11","4393","Rent","Prime Consulting","Public Sector Dept"
"2026-01-15","29274","Professional Fees","Azure Utilities","Direct Consumer"
"2026-03-21","40093","Inventory","Global Office Ltd","Direct Consumer"
"2026-02-21","40644","Professional Fees","Prime Consulting","Retail Giant A"
"2026-03-11","8891","Rent","Azure Utilities","Retail Giant A"
"2026-01-22","32324","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-01-10","28636","Inventory","Prime Consulting","Direct Consumer"
"2026-02-18","43112","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-02-26","36322","Inventory","Prime Consulting","SmallBiz Inc"
"2026-01-20","38002","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-01-03","1615","Tax Provision","Prime Consulting","Direct Consumer"
"2026-03-29","49965","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-03-28","23623","Rent","Azure Utilities","Public Sector Dept"
"2026-01-27","40615","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-03-08","49682","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-02-11","6137","Inventory","Azure Utilities","Retail Giant A"
"2026-03-26","20253","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-03-13","47417","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-01-03","44111","Inventory","TechLogistics Corp","Retail Giant A"
"2026-03-25","40996","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-02-10","4095","Rent","Prime Consulting","Public Sector Dept"
"2026-02-11","32278","Rent","Global Office Ltd","SmallBiz Inc"
"2026-02-28","31277","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-01-05","11805","Rent","Azure Utilities","Direct Consumer"
"2026-01-17","17667","Inventory","Azure Utilities","Public Sector Dept"
"2026-02-19","42360","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-03-07","41709","Rent","Global Office Ltd","SmallBiz Inc"
"2026-01-16","26330","Rent","Azure Utilities","Direct Consumer"
"2026-02-12","11798","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-02-16","36413","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-03-30","31067","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-01-08","13490","Inventory","Global Office Ltd","Direct Consumer"
"2026-01-25","46943","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-03-17","40717","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-27","36403","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-02-01","17077","Rent","Azure Utilities","Public Sector Dept"
"2026-02-20","42212","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-01-15","17345","Rent","Global Office Ltd","Direct Consumer"
"2026-02-09","34340","Rent","Global Office Ltd","Retail Giant A"
"2026-01-08","37567","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-03-20","19495","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-01-15","44792","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-03-29","15471","Tax Provision","Prime Consulting","Retail Giant A"
"2026-02-04","35251","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-01-17","10935","Inventory","Global Office Ltd","Public Sector Dept"
"2026-02-17","22905","Inventory","Azure Utilities","Public Sector Dept"
"2026-01-16","10019","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-03-16","26117","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-10","40908","Inventory","Global Office Ltd","Direct Consumer"
"2026-01-03","34458","Professional Fees","Azure Utilities","Retail Giant A"
"2026-03-01","30593","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-02-12","41822","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-03-21","43594","Inventory","Global Office Ltd","Retail Giant A"
"2026-03-23","18918","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-03-05","40134","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-03-31","12569","Inventory","Azure Utilities","Public Sector Dept"
"2026-03-30","44907","Rent","Global Office Ltd","Retail Giant A"
"2026-01-28","25689","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-03-02","11597","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-23","45588","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-03-30","26134","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-01-01","5117","Inventory","TechLogistics Corp","Direct Consumer"
"2026-03-24","3494","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-08","20447","Rent","Global Office Ltd","SmallBiz Inc"
"2026-01-14","2069","Tax Provision","Azure Utilities","Direct Consumer"
"2026-03-23","6927","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-21","24735","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-03-28","15265","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-07","25472","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-22","39185","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-01-31","5950","Rent","Global Office Ltd","Direct Consumer"
"2026-02-05","34440","Professional Fees","Prime Consulting","Direct Consumer"
"2026-03-28","22784","Inventory","Azure Utilities","Public Sector Dept"
"2026-01-28","24096","Rent","Azure Utilities","SmallBiz Inc"
"2026-02-14","37905","Professional Fees","Prime Consulting","Direct Consumer"
"2026-01-15","19372","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-01-02","4368","Professional Fees","Azure Utilities","Retail Giant A"
"2026-02-24","32348","Rent","Prime Consulting","SmallBiz Inc"
"2026-02-07","1222","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-02-14","47362","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-01-06","42774","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-03-25","11901","Inventory","Global Office Ltd","Public Sector Dept"
"2026-02-10","14475","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-02-15","21928","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-03-16","14065","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-01-08","6877","Professional Fees","Prime Consulting","SmallBiz Inc"
"2026-03-13","4573","Tax Provision","Prime Consulting","Direct Consumer"
"2026-03-14","39197","Rent","Global Office Ltd","Direct Consumer"
"2026-02-15","30967","Inventory","Prime Consulting","Public Sector Dept"
"2026-02-01","49619","Rent","Global Office Ltd","Direct Consumer"
"2026-03-02","26245","Inventory","Azure Utilities","Retail Giant A"
"2026-03-27","32051","Professional Fees","Azure Utilities","Direct Consumer"
"2026-01-26","20264","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-01-22","33635","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-05","22913","Rent","TechLogistics Corp","Retail Giant A"
"2026-03-22","7316","Rent","Prime Consulting","Public Sector Dept"
"2026-01-12","8787","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-01-26","6875","Rent","Prime Consulting","Public Sector Dept"
"2026-01-22","20606","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-02-13","12695","Sales Revenue","Prime Consulting","Public Sector Dept"
"2026-03-06","9473","Inventory","Prime Consulting","Public Sector Dept"
"2026-03-09","11355","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-03-06","26242","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-16","27664","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-02-18","28475","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-04","8139","Rent","Prime Consulting","Retail Giant A"
"2026-02-27","21414","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-03-21","9732","Sales Revenue","Global Office Ltd","Public Sector Dept"
"2026-02-02","18288","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-02-21","23405","Rent","TechLogistics Corp","Direct Consumer"
"2026-01-14","8856","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-02-08","15002","Inventory","Prime Consulting","Public Sector Dept"
"2026-02-17","41209","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-03-29","10620","Rent","Prime Consulting","Public Sector Dept"
"2026-03-24","7609","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-02-18","10842","Professional Fees","Prime Consulting","Retail Giant A"
"2026-02-10","8347","Rent","Azure Utilities","Public Sector Dept"
"2026-01-03","49281","Rent","Azure Utilities","Direct Consumer"
"2026-01-29","48515","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-01-18","30900","Rent","TechLogistics Corp","Retail Giant A"
"2026-01-21","39032","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-03-08","46477","Inventory","Azure Utilities","Direct Consumer"
"2026-02-11","28807","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-02-23","20552","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-02-23","23930","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-02-12","11237","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-03-30","36797","Sales Revenue","Global Office Ltd","Public Sector Dept"
"2026-02-02","41799","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-02-25","43309","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-19","3086","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-02-15","40035","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-02-22","10625","Sales Revenue","TechLogistics Corp","Public Sector Dept"
"2026-01-01","14203","Rent","Azure Utilities","Retail Giant A"
"2026-02-22","42110","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-02-20","43790","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-05","12018","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-03-04","43062","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-03-29","8638","Inventory","Azure Utilities","SmallBiz Inc"
"2026-02-24","16531","Rent","Global Office Ltd","Public Sector Dept"
"2026-02-04","29270","Inventory","Global Office Ltd","Direct Consumer"
"2026-02-09","43790","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-01-14","44942","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-03-22","23052","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-03-21","13143","Inventory","Prime Consulting","Public Sector Dept"
"2026-02-22","42910","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-20","11328","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-03-04","44496","Rent","Azure Utilities","Public Sector Dept"
"2026-01-07","40879","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-01-28","47391","Professional Fees","Prime Consulting","Direct Consumer"
"2026-01-01","35437","Inventory","Azure Utilities","Retail Giant A"
"2026-03-08","35334","Professional Fees","Azure Utilities","Retail Giant A"
"2026-02-12","9830","Inventory","Azure Utilities","SmallBiz Inc"
"2026-01-27","21070","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-10","24857","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-02-14","34499","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-03-29","17784","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-20","39749","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-02-05","31646","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-01-25","9451","Rent","Azure Utilities","SmallBiz Inc"
"2026-03-30","30409","Tax Provision","Azure Utilities","Direct Consumer"
"2026-01-06","35653","Inventory","Prime Consulting","SmallBiz Inc"
"2026-02-24","4061","Rent","Azure Utilities","Public Sector Dept"
"2026-01-12","3990","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-03-21","29441","Rent","Global Office Ltd","Public Sector Dept"
"2026-03-02","41841","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-03-07","5862","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-02-12","40603","Rent","Azure Utilities","SmallBiz Inc"
"2026-03-26","43429","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-01-25","18728","Inventory","Global Office Ltd","Public Sector Dept"
"2026-03-31","9687","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-27","17026","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-01-02","17556","Inventory","Prime Consulting","Retail Giant A"
"2026-02-18","36275","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-02-01","31613","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-01-21","33047","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-28","20211","Inventory","Prime Consulting","Direct Consumer"
"2026-02-03","9969","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-01-25","23075","Rent","TechLogistics Corp","Public Sector Dept"
"2026-03-28","9588","Professional Fees","Azure Utilities","Retail Giant A"
"2026-02-11","38552","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-03-13","2244","Rent","Azure Utilities","SmallBiz Inc"
"2026-01-28","46965","Inventory","Global Office Ltd","Direct Consumer"
"2026-02-11","31709","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-20","13151","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-26","36039","Rent","Prime Consulting","Retail Giant A"
"2026-01-14","23501","Tax Provision","Prime Consulting","Direct Consumer"
"2026-02-18","16726","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-03-02","14158","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-02-08","31927","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-02-23","16741","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-02-09","34377","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-03-23","12105","Tax Provision","Prime Consulting","Direct Consumer"
"2026-01-16","1127","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-02-05","42647","Rent","Azure Utilities","Direct Consumer"
"2026-01-21","2048","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-01-20","39684","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-01-26","34235","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-01-23","18402","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-03-31","5046","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-01-06","33226","Inventory","Prime Consulting","Retail Giant A"
"2026-03-15","33839","Rent","Prime Consulting","Direct Consumer"
"2026-02-22","5319","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-02-25","8363","Rent","Prime Consulting","Direct Consumer"
"2026-03-16","23292","Inventory","Prime Consulting","SmallBiz Inc"
"2026-01-03","27872","Inventory","Azure Utilities","Retail Giant A"
"2026-01-04","9114","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-03-30","25553","Inventory","Azure Utilities","Retail Giant A"
"2026-03-05","35519","Rent","Prime Consulting","SmallBiz Inc"
"2026-02-22","5141","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-02-23","16668","Sales Revenue","TechLogistics Corp","Public Sector Dept"
"2026-01-19","38907","Inventory","Prime Consulting","SmallBiz Inc"
"2026-01-31","42844","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-02-27","34440","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-03-19","15845","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-03","20424","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-01-20","48075","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-07","24195","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-02-14","38893","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-02-18","4183","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-02-14","12204","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-12","24117","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-02-27","17558","Rent","TechLogistics Corp","Retail Giant A"
"2026-03-15","32213","Rent","Prime Consulting","Direct Consumer"
"2026-03-07","16863","Rent","TechLogistics Corp","Direct Consumer"
"2026-01-26","40348","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-03-01","21194","Rent","Global Office Ltd","SmallBiz Inc"
"2026-01-20","49663","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-01-19","36914","Rent","Global Office Ltd","Direct Consumer"
"2026-02-22","16299","Inventory","TechLogistics Corp","Direct Consumer"
"2026-03-12","49401","Inventory","Global Office Ltd","Retail Giant A"
"2026-02-19","45669","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-19","10249","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-02-16","21459","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-01-22","9408","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-01-20","23013","Inventory","Global Office Ltd","Retail Giant A"
"2026-03-06","28052","Professional Fees","Prime Consulting","Direct Consumer"
"2026-02-20","22663","Professional Fees","Azure Utilities","Direct Consumer"
"2026-02-23","44155","Rent","Prime Consulting","Public Sector Dept"
"2026-02-03","6523","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-01-21","9278","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-01-01","26035","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-01-13","35904","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-01-17","20090","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-03-06","33809","Professional Fees","Prime Consulting","Retail Giant A"
"2026-02-19","49915","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-01-17","46328","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-02-07","40382","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-01-21","11689","Inventory","Azure Utilities","Retail Giant A"
"2026-02-10","25321","Rent","TechLogistics Corp","Public Sector Dept"
"2026-01-16","11915","Tax Provision","Prime Consulting","Retail Giant A"
"2026-03-10","41091","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-03-16","1411","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-27","28745","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-02-17","16709","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-01-24","11859","Rent","Global Office Ltd","Retail Giant A"
"2026-03-09","17515","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-02-13","6456","Inventory","Azure Utilities","SmallBiz Inc"
"2026-01-25","22839","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-01-12","16385","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-19","28424","Rent","Prime Consulting","SmallBiz Inc"
"2026-01-30","32399","Rent","Global Office Ltd","Direct Consumer"
"2026-01-24","32193","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-01-19","41285","Rent","TechLogistics Corp","Direct Consumer"
"2026-01-04","1007","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-03-29","47455","Sales Revenue","Global Office Ltd","Public Sector Dept"
"2026-01-21","43513","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-01-18","34340","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-01-04","8203","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-26","43179","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-03-22","32434","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-01-19","15461","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-02-08","13680","Rent","TechLogistics Corp","Public Sector Dept"
"2026-03-27","37870","Inventory","TechLogistics Corp","Direct Consumer"
"2026-02-16","25047","Rent","Prime Consulting","Public Sector Dept"
"2026-02-16","20196","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-01-20","45779","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-02-25","18116","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-01-29","30026","Professional Fees","Prime Consulting","SmallBiz Inc"
"2026-02-21","17415","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-02-03","20493","Rent","Azure Utilities","SmallBiz Inc"
"2026-01-12","30513","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-01-17","4989","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-03-13","32652","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-02-16","22055","Inventory","Global Office Ltd","Public Sector Dept"
"2026-02-25","4831","Rent","Azure Utilities","Retail Giant A"
"2026-03-01","12902","Rent","Prime Consulting","Public Sector Dept"
"2026-02-14","25760","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-01-27","40296","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-02-16","2860","Tax Provision","Azure Utilities","Direct Consumer"
"2026-01-27","4876","Rent","Prime Consulting","Retail Giant A"
"2026-03-25","33241","Inventory","Azure Utilities","Public Sector Dept"
"2026-02-05","31417","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-02-06","6583","Sales Revenue","Global Office Ltd","Public Sector Dept"
"2026-03-18","7687","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-02-16","6491","Professional Fees","Prime Consulting","Retail Giant A"
"2026-03-30","7524","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-01-15","49216","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-28","10743","Rent","Global Office Ltd","SmallBiz Inc"
"2026-03-19","13822","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-26","26402","Rent","Prime Consulting","SmallBiz Inc"
"2026-02-09","37027","Rent","Global Office Ltd","Direct Consumer"
"2026-02-09","45242","Rent","Global Office Ltd","Direct Consumer"
"2026-02-24","5443","Rent","Global Office Ltd","SmallBiz Inc"
"2026-03-08","40739","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-11","24818","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-29","12203","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-28","6686","Rent","TechLogistics Corp","Direct Consumer"
"2026-03-14","29947","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-03-11","34190","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-02-18","23273","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-01-15","44038","Inventory","TechLogistics Corp","Retail Giant A"
"2026-02-10","2519","Inventory","Prime Consulting","Retail Giant A"
"2026-03-09","1320","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-02-10","25533","Rent","Azure Utilities","Direct Consumer"
"2026-02-03","45586","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-02-17","19672","Rent","TechLogistics Corp","Direct Consumer"
"2026-01-25","6152","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-02-15","4483","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-24","15520","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-02-09","9098","Inventory","Azure Utilities","Direct Consumer"
"2026-02-16","43204","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-04","24647","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-24","35445","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-01-29","18906","Rent","Azure Utilities","Direct Consumer"
"2026-02-26","33420","Inventory","Prime Consulting","Retail Giant A"
"2026-01-21","14598","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-02-13","44901","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-03-16","46534","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-02-09","1022","Inventory","Prime Consulting","Retail Giant A"
"2026-03-23","6404","Rent","Global Office Ltd","Direct Consumer"
"2026-03-03","9510","Rent","Azure Utilities","Direct Consumer"
"2026-03-07","38941","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-03-01","30943","Rent","Azure Utilities","Retail Giant A"
"2026-03-02","13247","Inventory","Prime Consulting","SmallBiz Inc"
"2026-03-19","15076","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-02-07","13981","Professional Fees","Prime Consulting","Direct Consumer"
"2026-03-01","11977","Tax Provision","Azure Utilities","Direct Consumer"
"2026-01-30","45363","Rent","Azure Utilities","SmallBiz Inc"
"2026-03-10","20884","Inventory","TechLogistics Corp","Retail Giant A"
"2026-03-20","7859","Tax Provision","Prime Consulting","Retail Giant A"
"2026-01-09","7629","Rent","TechLogistics Corp","Retail Giant A"
"2026-01-06","22390","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-01-15","49918","Inventory","Global Office Ltd","Direct Consumer"
"2026-03-14","6235","Rent","Prime Consulting","SmallBiz Inc"
"2026-01-04","43431","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-01-18","31707","Rent","Azure Utilities","SmallBiz Inc"
"2026-02-03","11877","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-03-24","40834","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-01-26","21611","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-03-07","36537","Inventory","Prime Consulting","Direct Consumer"
"2026-02-01","40286","Professional Fees","Azure Utilities","Retail Giant A"
"2026-02-13","19408","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-03-12","41625","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-03-08","48407","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-03-12","4602","Inventory","Prime Consulting","Retail Giant A"
"2026-01-02","17614","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-02-16","45171","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-03-11","26235","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-01-09","6251","Rent","Prime Consulting","SmallBiz Inc"
"2026-02-05","39998","Rent","Azure Utilities","Retail Giant A"
"2026-02-03","15770","Rent","Azure Utilities","SmallBiz Inc"
"2026-01-13","49569","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-02-27","48643","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-02-11","1943","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-16","17324","Tax Provision","Prime Consulting","Direct Consumer"
"2026-03-24","43749","Rent","Prime Consulting","Retail Giant A"
"2026-03-18","3292","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-02-23","32018","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-01-24","13734","Professional Fees","Prime Consulting","SmallBiz Inc"
"2026-02-18","30570","Inventory","Azure Utilities","Retail Giant A"
"2026-02-01","11292","Inventory","Global Office Ltd","Public Sector Dept"
"2026-02-18","37017","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-02-07","22838","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-02-21","46499","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-02-22","18250","Inventory","TechLogistics Corp","Direct Consumer"
"2026-02-22","6475","Inventory","Prime Consulting","Direct Consumer"
"2026-01-08","14493","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-23","36816","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-02-21","2291","Rent","Azure Utilities","Retail Giant A"
